"","year","fips","leaid","enr_lep","enr_all","psenr_lep","psenr_all","ratio_lep"
"90",2017,"Alabama","0101720",127,1652,-4,26,0.0768765133171913
"91",2017,"Alabama","0101730",33,3511,-6,103,0.00939903161492452
"92",2017,"Alabama","0101740",16,2477,-6,63,0.00645942672587808
"93",2017,"Alabama","0101760",251,4249,-8,45,0.0590727229936456
"94",2017,"Alabama","0101770",95,6363,-16,2,0.0149300644350149
"95",2017,"Alabama","0101800",1313,23768,37,965,0.0552423426455739
"96",2017,"Alabama","0101830",145,5293,-15,136,0.0273946722085774
"97",2017,"Alabama","0101860",6,1610,-2,49,0.00372670807453416
"98",2017,"Alabama","0101890",216,2727,-8,43,0.0792079207920792
"99",2017,"Alabama","0101920",2757,35963,-90,241,0.0766621249617663
"100",2017,"Alabama","0101950",17,2373,-2,55,0.00716392751790982
"101",2017,"Alabama","0101980",68,937,-4,37,0.0725720384204909
"102",2017,"Alabama","0102010",86,8267,-3,256,0.0104028063384541
"103",2017,"Alabama","0102040",149,4880,-14,124,0.0305327868852459
"104",2017,"Alabama","0102070",196,9503,-9,137,0.0206250657687046
"105",2017,"Alabama","0102100",535,9347,-11,76,0.0572376163474912
"106",2017,"Alabama","0102130",0,463,-4,12,0
"107",2017,"Alabama","0102160",2,1366,-14,-14,0.00146412884333821
"108",2017,"Alabama","0102190",13,1935,-7,40,0.00671834625322997
"109",2017,"Alabama","0102220",467,19531,-26,528,0.0239107060570375
"110",2017,"Alabama","0102250",7,1054,-2,36,0.00664136622390892
"111",2017,"Alabama","0102310",36,3219,-22,-4,0.0111835973904939
"112",2017,"Alabama","0102350",38,1047,-6,-6,0.0362941738299905
"113",2017,"Alabama","0102370",2604,56521,-34,1032,0.046071371702553
"114",2017,"Alabama","0102400",8,3401,-5,81,0.00235224933842987
"115",2017,"Alabama","0102430",2339,29328,-76,400,0.079753136933988
"116",2017,"Alabama","0102480",760,7751,-21,115,0.0980518642755773
"117",2017,"Alabama","0102490",31,4334,-6,18,0.00715274573142593
"118",2017,"Alabama","0102520",79,2850,-10,28,0.027719298245614
